,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0,0195153448,Classical Mythology,Mark P. O. Morford,2002,Oxford University Press
1,0002005018,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada
2,0060973129,Decision in Normandy,Carlo D'Este,1991,HarperPerennial
3,0374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux
4,0393045218,The Mummies of Urumchi,E. J. W. Barber,1999,W. W. Norton &amp; Company
5,0399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
6,0425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000,Berkley Publishing Group
7,0671870432,PLEADING GUILTY,Scott Turow,1993,Audioworks
8,0679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,1996,Random House
9,074322678X,Where You'll Find Me: And Other Stories,Ann Beattie,2002,Scribner
10,0771074670,Nights Below Station Street,David Adams Richards,1988,Emblem Editions
11,080652121X,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,2000,Citadel Press
12,0887841740,The Middle Stories,Sheila Heti,2004,House of Anansi Press
13,1552041778,Jane Doe,R. J. Kaiser,1999,Mira Books
14,1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,Health Communications
15,1567407781,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,1998,Brilliance Audio - Trade
16,1575663937,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,1999,Kensington Publishing Corp.
17,1881320189,Goodbye to the Buttermilk Sky,Julia Oliver,1994,River City Pub
18,0440234743,The Testament,John Grisham,1999,Dell
19,0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume
20,0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,Three Rivers Press
21,1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001,Ryland Peters &amp; Small Ltd
22,1879384493,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,2003,Cypress House
23,0061076031,Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in),Mary-Kate &amp; Ashley Olsen,2000,HarperEntertainment
24,0439095026,Tell Me This Isn't Happening,Robynn Clairday,1999,Scholastic
25,0689821166,Flood : Mississippi 1927,Kathleen Duey,1998,Aladdin
26,0971880107,Wild Animus,Rich Shapero,2004,Too Far
27,0345402871,Airframe,Michael Crichton,1997,Ballantine Books
28,0345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books
29,0684823802,OUT OF THE SILENT PLANET,C.S. Lewis,1996,Scribner
30,0375759778,Prague : A Novel,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks
31,0425163091,Chocolate Jesus,Stephan Jaramillo,1998,Berkley Publishing Group
32,3404921038,Wie Barney es sieht.,Mordecai Richler,2002,LÃ?Â¼bbe
33,3442353866,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Eleanor Cooney,2001,Goldmann
34,3442410665,Sturmzeit. Roman.,Charlotte Link,1991,Goldmann
35,3442446937,Tage der Unschuld.,Richard North Patterson,2000,Goldmann
36,0375406328,Lying Awake,Mark Salzman,2000,Alfred A. Knopf
37,0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company
38,0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books
39,0060168013,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins
40,038078243X,Miss Zukas and the Raven's Dance,Jo Dereske,1996,Avon
41,055321215X,Pride and Prejudice,Jane Austen,1983,Bantam
42,067176537X,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Dolores Krieger,1979,Fireside
43,0061099686,Downtown,Anne Rivers Siddons,1995,HarperTorch
44,0553582909,Icebound,Dean R. Koontz,2000,Bantam Books
45,0671888587,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket
46,0553582747,From the Corner of His Eye,Dean Koontz,2001,Bantam Books
47,0425182908,Isle of Dogs,Patricia Cornwell,2002,Berkley Publishing Group
48,042518630X,Purity in Death,J.D. Robb,2002,Berkley Publishing Group
49,0440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,Dell
50,0812523873,Proxies,Laura J. Mixon,1999,Tor Books
51,0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,Tyndale House Publishers
52,0440225701,The Street Lawyer,JOHN GRISHAM,1999,Dell
53,0060914068,"Love, Medicine and Miracles",M.D. Bernie S. Siegel,1988,HarperCollins Publishers
54,0156047624,All the King's Men,Robert Penn Warren,1982,Harvest Books
55,0245542957,Pacific Northwest,Hans Johannes Hoefer,1985,Chambers Harrap Publishers Ltd
56,0380715899,A Soldier of the Great War,Mark Helprin,1992,Avon Books
57,0553280333,Getting Well Again,O. Carol Simonton Md,1992,Bantam
58,0961769947,Northwest Wines and Wineries,Chuck Hill,1993,Speed Graphics
59,0964778319,An Atmosphere of Eternity: Stories of India,David Iglehart,2002,Sunflower Press
60,0671623249,LONESOME DOVE,Larry McMurtry,1986,Pocket
61,0679810307,Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES,1991,Laurel Leaf
62,0679865691,Haveli (Laurel Leaf Books),SUZANNE FISHER STAPLES,1995,Laurel Leaf
63,2070423204,Lieux dits,Michel Tournier,2002,Gallimard
64,0345260317,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,1978,Ballantine Books
65,0394743741,The yawning heights,Aleksandr Zinoviev,1980,Random House
66,042511774X,Breathing Lessons,Anne Tyler,1994,Berkley Publishing Group
67,0804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12)
68,1853262404,Heart of Darkness (Wordsworth Collection),Joseph Conrad,1998,NTC/Contemporary Publishing Company
69,0312970242,The Angel Is Near,Deepak Chopra,2000,St. Martin's Press
70,1853260053,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1997,NTC/Contemporary Publishing Company
71,1414035004,The Adventures of Drew and Ellie: The Magical Dress,Charles Noland,2003,1stBooks Library
72,0060938412,The Accidental Virgin,Valerie Frankel,2003,Avon Trade
73,0140067477,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books
74,0345465083,Seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books
75,0451625889,The Prince,Niccolo Machiavelli,1952,Signet Book
76,1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,Thomas Nelson
77,0441783589,Starship Troopers,Robert A. Heinlein,1987,Ace Books
78,0394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,1988,Laurel Leaf
79,1569871213,Black Beauty (Illustrated Classics),Anna Sewell,1995,Landoll
80,0375410538,Anil's Ghost,MICHAEL ONDAATJE,2000,Knopf
81,0966986105,Prescription for Terror,Sandra Levy Ceren,1999,Andrew Scott Publishers
82,087113375X,Modern Manners: An Etiquette Book for Rude People,P.J. O'Rourke,1990,Atlantic Monthly Press
83,0340767936,Turning Thirty,Mike Gayle,2000,Hodder &amp; Stoughton General Division
84,0743403843,Decipher,Stel Pavlou,2002,Simon &amp; Schuster (Trade Division)
85,0060930365,"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell",Sarah Payne Stuart,1999,Perennial
86,0060177586,Standing Firm: A Vice-Presidential Memoir,Dan Quayle,1994,Harpercollins
87,0071416331,Team Bush : Leadership Lessons from the Bush White House,Donald F. Kettl,2003,McGraw-Hill
88,0375509038,The Right Man : The Surprise Presidency of George W. Bush,DAVID FRUM,2003,Random House
89,0553062042,Daybreakers Louis Lamour Collection,Louis Lamour,1981,Bantam Doubleday Dell
90,0316769487,The Catcher in the Rye,J.D. Salinger,1991,"Little, Brown"
91,8445071408,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),J. R. R. Tolkien,2001,Minotauro
92,8445071769,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),J. R. R. Tolkien,2001,Minotauro
93,8445071777,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",J. R. R. Tolkien,2001,Distribooks
94,0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,Random House
95,0671867156,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket
96,0312252617,Fast Women,Jennifer Crusie,2001,St. Martin's Press
97,0312261594,Female Intelligence,Jane Heller,2001,St. Martin's Press
98,0316748641,Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,2002,Back Bay Books
99,0316973742,The Gospel of Judas: A Novel,Simon Mawer,2002,Back Bay Books
100,0385235941,"Prize Stories, 1987: The O'Henry Awards",William Abrahams,1987,Doubleday Books
101,0446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,2000,Warner Books
102,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
103,0553347594,McDonald's: Behind the Arches,John F. Love,1995,Bantam
104,0671621009,Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!,Robert G. Allen,1986,Fireside
105,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage
106,0684822733,"Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans",Pam Proctor,1996,Fireside
107,0786868716,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion
108,8472238822,Tu Nombre Escrito En El Agua (La Sonrisa Vertical),Irene Gonzalez Frei,2002,Tusquets
109,0671864769,Relics (Star Trek: The Next Generation),Michael Jan Friedman,1992,Star Trek
110,0671521519,Bless The Beasts And Children : Bless The Beasts And Children,Glendon Swarthout,1995,Pocket
111,0440222303,"The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5)",Neal Barrett Jr.,1996,Dell
112,0312953453,Blood Oath,David Morrell,1994,St. Martin's Press
113,0446608653,The Alibi,Sandra Brown,2000,Warner Books
114,0446612545,The Beach House,James Patterson,2003,Warner Books
115,0446612618,A Kiss Remembered,Sandra Brown,2003,Warner Books
116,0451208080,The Short Forever,Stuart Woods,2003,Signet Book
117,0553584383,Dead Aim,IRIS JOHANSEN,2004,Bantam Books
118,0671027360,Angels &amp; Demons,Dan Brown,2001,Pocket Star
119,0812575954,The Deal,Joe Hutsko,2000,Tor Books (Mm)
120,0316735736,All He Ever Wanted: A Novel,Anita Shreve,2004,Back Bay Books
121,0743439740,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,2002,Pocket
122,0345372700,"If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground",LEWIS GRIZZARD,1991,Ballantine Books
123,0380619458,The Mosquito Coast,Paul Theroux,1990,Harper Mass Market Paperbacks (Mm)
124,0446325805,"If Love Were Oil, I'd Be About a Quart Low",Lewis Grizzard,1994,Warner Books (Mm)
125,0451406923,"Goodbye, My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims",Charles Hickey,1996,Onyx Books
126,0671042858,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket
127,0743249992,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,2003,Free Press
128,0840734530,"The Oneprince (The Redaemian Chronicles, Book 1)",Bill Hand,1992,Thomas Nelson Inc
129,0425184226,The Sum of All Fears,Tom Clancy,2002,Berkley Publishing Group
130,0375500766,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,DANA REEVE,1999,Random House
131,9724119378,O Deus Das Pequenas Coisas,Roy,1998,Edicoes Asa
132,0451205197,Lady in Green/Minor Indiscretions (Signet Regency Romance),Barbara Metzger,2002,Signet Book
133,0060929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998,Perennial
134,0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial
135,0061099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1992,HarperTorch
136,0671004573,Before I Say Good-Bye,Mary Higgins Clark,2001,Pocket
137,0446601640,Slow Waltz in Cedar Bend,Robert James Waller,1994,Warner Books
138,0330484516,Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title),Rachel Harris,2001,Pan Macmillan
139,038572179X,Atonement : A Novel,IAN MCEWAN,2003,Anchor
140,0393020371,Next: The Future Just Happened,Michael Lewis,2001,W.W. Norton &amp; Company
141,1900850303,The Angelic Darkness,Richard Zimler,1999,Arcadia Books
142,1903019699,The Soulbane Stratagem,Norman Jetmundsen,2000,"John Hunt Publishing, Ltd."
143,0345425294,Gangster,Lorenzo Carcaterra,2002,Fawcett Books
144,0451410319,Hush,Anne Frasier,2002,Onyx Books
145,0553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002,Bantam Books
146,8420639133,Temor y Temblor,Soren Kierkegaard,2001,Alianza
147,8476409419,Estudios sobre el amor,Jose Ortega Y Gaset,2001,Downtown Book Center
148,0380778556,Rebecca,Daphne Du Maurier,1994,Avon
149,0451525221,Scarlet Letter,Nathaniel Hawthorne,1993,Signet Book
150,0002740230,Keep It Simple: And Get More Out of Life,Nick Page,1999,Trafalgar Square
151,0385336772,Diary of a Mad Mom-To-Be,Laura Wolf,2003,Delta
152,0440949424,Locked in Time (Laurel Leaf Books),LOIS DUNCAN,1986,Laure Leaf
153,0505524996,Contact,Susan Grant,2002,Love Spell
154,0140252800,The Brimstone Wedding,Barbara Vine,1997,Penguin Books Ltd
155,0451452755,The Catswold Portal,Shirley Rousseau Murphy,1993,Roc
156,0812575482,Through Wolf's Eyes (Wolf),Jane Lindskold,2002,Tor Fantasy
157,044651747X,Puerto Vallarta Squeeze,Robert James Waller,1995,Warner Books
158,0060801263,Tree Grows In Brooklyn,Betty Smith,1988,Harpercollins Publisher
159,0061030147,"Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think",Cybill Shepherd,2001,Avon Books
160,0140250964,Snow Angels,Stewart O'Nan,1995,Penguin Books
161,0446527165,Wish You Well,David Baldacci,2000,Warner Books
162,0671461494,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1982,Pocket
163,0385337639,Crow Lake (Today Show Book Club #7),Mary Lawson,2003,Delta
164,039575514X,My Antonia,Willa Cather,1995,Mariner Books
165,0451206673,Pen Pals,Olivia Goldsmith,2002,Signet Book
166,0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
167,0486284735,Pride and Prejudice (Dover Thrift Editions),Jane Austen,1995,Dover Publications
168,0671021745,EYE ON CRIME: HARDY BOYS #153,Franklin W. Dixon,1998,Aladdin
169,0671047612,Skin And Bones,Franklin W. Dixon,2000,Aladdin
170,0671504282,"LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) : LAW OF THE JUNGLE (Hardy Boys, The)",Franklin W. Dixon,1995,Simon Pulse
171,0399138684,The Cat Who Came to Breakfast (Cat Who... (Hardcover)),Lilian Jackson Braun,1994,Putnam Pub Group
172,0785263292,"If Singleness Is a Gift, What's the Return Policy?",Holly Virden,2003,Nelson Books
173,0830714014,Always Daddy's Girl: Understanding Your Father's Impact on Who You Are,H. Norman Wright,1989,Regal Books
174,0345354931,Night Mare (Xanth Novels (Paperback)),Piers Anthony,1990,Del Rey Books
175,0553278223,The Martian Chronicles,RAY BRADBURY,1984,Spectra
176,3150000335,Kabale Und Liebe,Schiller,0,"Philipp Reclam, Jun Verlag GmbH"
177,3257203659,Der illustrierte Mann. ErzÃ?Â¤hlungen.,Ray Bradbury,2002,Diogenes
178,3257207522,Der KÃ?Â¶nig in Gelb.,Raymond Chandler,1980,Diogenes Verlag
179,3257208626,Fahrenheit 451,Ray Bradbury,1994,Distribooks Inc
180,3257208634,Die Mars- Chroniken. Roman in ErzÃ?Â¤hlungen.,Ray Bradbury,1981,Diogenes Verlag
181,3257208669,Das BÃ?Â¶se kommt auf leisen Sohlen.,Ray Bradbury,2003,Diogenes
182,3257210450,LÃ?Â¶wenzahnwein. Roman.,Ray Bradbury,1999,Diogenes Verlag
183,3257212054,Das Kind von morgen. ErzÃ?Â¤hlungen.,Ray Bradbury,2000,Diogenes Verlag
184,3257212429,Die Mechanismen der Freude. ErzÃ?Â¤hlungen.,Ray Bradbury,2000,Diogenes Verlag
185,3257214154,Familientreffen. ErzÃ?Â¤hlungen.,Ray Bradbury,2000,Diogenes Verlag
186,3257216416,Der Tod kommt schnell in Mexico. ErzÃ?Â¤hlungen.,Ray Bradbury,1988,Diogenes Verlag
187,3257233051,Veronika Deschliesst Zu Sterben / Vernika Decides to Die,Paolo Coelho,2002,Distribooks
188,342311360X,Die Liebe in Den Zelten,Gabriel Garcia Marquez,0,Deutscher Taschenbuch Verlag (DTV)
189,3423116714,Die Klone der Joanna May. Roman.,Fay Weldon,1993,Dtv
190,3423241489,Ist mein Hintern wirklich so dick? Tagebuch einer empfindsamen Frau.,Arabella Weir,1998,Dtv
191,3426605686,Haifischfrauen.,Kiana Davenport,1996,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co."
192,3453212150,Die Cappuccino- Jahre. Aus dem Tagebuch des Adrian Mole.,Sue Townsend,2002,Heyne
193,3462021095,Schwarzer Tee mit drei StÃ¼ck Zucker,Renan Demirkan,1991,Kiepenheuer &amp; Witsch
194,3492045642,QuerschÃ?Â¼sse - Downsize This!,Michael Moore,2003,Piper
195,3498020862,Die Korrekturen.,Jonathan Franzen,2002,"Rowohlt, Reinbek"
196,3499110695,Neun ErzÃ?Â¤hlungen.,Jerome D. Salinger,1968,Rowohlt Tb.
197,3499151502,"Hebt den Dachbalken hoch, Zimmerleute / Seymour wird vorgestellt.",Jerome D. Salinger,1998,Rowohlt Tb.
198,3518111000,"Ulysses (Ã?Â?bersetzg. WollschlÃ?Â¤ger). ( Neue Folge, 100).",James Joyce,1981,Suhrkamp
199,3548254268,Eine ganz normale AffÃ?Â¤re.,Joanna Trollope,2002,Ullstein Tb
